encoded,original
1459,10592910
1460,90831104
1461,91357149
1462,52715750
1463,27715768
1464,85723652
1465,88287866
1466,26937926
1467,85178604
1468,91189495
1469,90021717
1470,82591833
1471,88228213
1472,69842766
1473,88723425
1474,55858668
1475,90279407
1476,90329363
1477,82871052
1478,1324082
1479,91844731
1480,22767560
1481,86557929
1482,50796679
1483,88646933
1484,16864403
1485,82250048
1486,90562987
1487,89057069
1488,81868430
1489,64932140
1490,85250422
1491,55118186
1492,34301440
1493,90238531
1494,24938800
1495,80016026
1496,26876245
1497,90345552
1498,89115906
1499,87100961
1500,90759882
1501,50968949
1502,42641230
1503,26988516
1504,53365014
1505,99371637
1506,23373564
1507,97485774
1508,24836661
1509,88769076
1510,92538008
1511,87505674
1512,56908976
1513,6867036
1514,54937270
1515,52605851
1516,82976160
1517,97586963
1518,28618899
1519,29019149
1520,28646353
1521,80597895
1522,23284205
1523,73373701
1524,90227339
1525,88950103
1526,37843432
1527,26278536
1528,39701070
1529,42089998
1530,91700170
1531,88148041
1532,89151634
1533,88026011
1534,88282932
1535,83742649
1536,89018881
1537,27719933
1538,55911636
1539,90192747
1540,86556392
1541,90260688
1542,28806169
1543,47503123
1544,82199015
1545,91746149
1546,12747051
1547,86447923
1548,60287324
1549,18440846
1550,23017876
1551,86976198
1552,90643258
1553,91193857
1554,91212073
1555,59264560
1556,47525246
1557,53469263
1558,87047811
1559,92130183
1560,36907886
1561,90583435
1562,88629701
1563,52673999
1564,83693252
1565,24888800
1566,85666505
1567,80597760
1568,80940119
1569,92499053
1570,76423009
1571,72338170
1572,10894302
1573,93367755
1574,50840227
1575,82999760
1576,14824315
1577,80288981
1578,42771296
1579,97272935
1580,84400135
1581,42433084
1582,90176161
1583,53490765
1584,55090407
1585,45191813
1586,87313802
1587,72539704
1588,90373579
1589,3094712
1590,92119758
1591,85895845
1592,37916053
1593,88285868
1594,47897415
1595,52419147
1596,50783273
1597,24316818
1598,83156247
1599,90393569
1600,22076762
1601,26593555
1602,90706302
1603,82926269
1604,14521488
1605,85177746
1606,89101282
1607,28022384
1608,54989988
1609,70726548
1610,53559519
1611,12908422
1612,83717959
1613,82257197
1614,83082766
1615,97105297
1616,54263296
1617,12810933
1618,91091599
1619,50621237
1620,90633239
1621,50879496
1622,10194856
1623,87000941
1624,82736795
1625,91677950
1626,82295220
1627,91580029
1628,88637575
1629,40848158
1630,37699703
1631,22638736
1632,83514899
1633,24283653
1634,22147176
1635,54136898
1636,27997078
1637,91867282
1638,47834448
1639,87453541
1640,50704742
1641,69646650
1642,47308753
1643,70842027
1644,73004496
1645,91440230
1646,5692093
1647,87581898
1648,54198367
1649,64966252
1650,80417612
1651,24738839
1652,53519242
1653,90065643
1654,83165772
1655,91010787
1656,76446538
1657,28062603
1658,90289284
1659,92144124
1660,88991786
1661,88520511
1662,52469531
1663,84183806
1664,50935292
1665,97383600
1666,53064782
1667,90308634
1668,90325107
1669,93406201
1670,50834885
1671,92364359
1672,92258646
1673,24799238
1674,90348832
1675,23598986
1676,90174229
1677,42849479
1678,87471597
1679,88084341
1680,42989436
1681,24753612
1682,97062348
1683,53973729
1684,28075950
1685,64842823
1686,50966392
1687,90871793
1688,59087381
1689,10849460
1690,54609452
1691,24541836
1692,54133359
1693,13794236
1694,85340873
1695,83194072
1696,24753492
1697,72309392
1698,88290692
1699,88637646
1700,91009698
1701,54140984
1702,90137858
1703,42958139
1704,90395237
1705,80719840
1706,85958382
1707,86642783
1708,91167540
1709,16786723
1710,86317029
1711,25658679
1712,87107423
1713,87238683
1714,29137624
1715,42865934
1716,25064661
1717,90885157
1718,89697348
1719,83122824
1720,91063947
1721,16385733
1722,42849098
1723,42638592
1724,84239132
1725,55862987
1726,96883445
1727,24377531
1728,28666097
1729,12615087
1730,20925796
1731,28125678
1732,84164842
1733,54648602
1734,29116923
1735,54103637
1736,90615555
1737,97557600
