mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dense_layer_sizes,param_embedding_dim,param_epochs,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
26.968883514404297,0.06941207563972303,0.45196231206258136,0.019977408945780904,64,"(64, 32)",8,20,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.0005}",-1440826752.0,-1771327232.0,-985983680.0,-1399379221.3333333,321951908.43330145,44
27.60096065203349,1.0519224223854209,0.4483550389607747,0.012629262681215865,64,"(64, 32)",8,20,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.001}",-85544263680.0,-9298743296.0,-73170763776.0,-56004590250.666664,33410108049.14316,68
26.596482912699383,0.5489719133115671,0.4290021260579427,0.0017526677200446427,64,"(64, 32)",8,20,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.01}",-1223307008.0,-1134484992.0,-1653374592.0,-1337055530.6666667,226591628.34443948,38
39.388707637786865,0.49555231796536114,0.47261301676432294,0.04587593468411536,64,"(64, 32)",8,30,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.0005}",-2804992000.0,-927595264.0,-1057923136.0,-1596836800.0,855949990.3694888,50
39.10835393269857,0.1462025080444629,0.4672087033589681,0.02782359691440469,64,"(64, 32)",8,30,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.001}",-1042528576.0,-1531622656.0,-7065069056.0,-3213073429.3333335,2731081102.8683743,57
40.70238455136617,0.8630815582988086,0.45567750930786133,0.016652141869574897,64,"(64, 32)",8,30,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.01}",-1369987456.0,-938190272.0,-1584951296.0,-1297709674.6666667,268939911.2530951,31
73.2781179745992,14.00717229797643,0.4831093947092692,0.0515445926343918,64,"(64, 32)",8,40,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.0005}",-1003521536.0,-993157184.0,-1059761536.0,-1018813418.6666666,29262218.90599209,6
53.9066067536672,0.16767646630236735,0.4410560925801595,0.007091858849827072,64,"(64, 32)",8,40,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.001}",-1609466112.0,-60687593472.0,-1332857984.0,-21209972522.666668,27915121886.157574,66
53.72231284777323,1.1322227522121675,0.4382012685139974,0.005222750126836194,64,"(64, 32)",8,40,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.01}",-1325094912.0,-1248158848.0,-1443387136.0,-1338880298.6666667,80295490.83651324,39
39.90734585126241,1.6057711216349604,0.4356677532196045,0.005422675105085745,64,"(64, 32)",16,20,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.0005}",-19495997440.0,-1114351616.0,-35313917952.0,-18641422336.0,13974984993.40634,65
37.97286041577657,1.6397486017863885,0.4420475165049235,0.008255141086228643,64,"(64, 32)",16,20,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.001}",-1054784384.0,-5951675392.0,-1382793344.0,-2796417706.6666665,2235119052.027038,56
38.54926164944967,2.3207578825214257,0.43865251541137695,0.007403557630691336,64,"(64, 32)",16,20,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.01}",-1247058048.0,-1267665152.0,-1653989888.0,-1389571029.3333333,187161539.49241045,42
64.53023926417033,12.890437722089473,0.44015200932820636,0.005209502734629657,64,"(64, 32)",16,30,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.0005}",-1010235584.0,-929872448.0,-1025880640.0,-988662890.6666666,42058919.43466728,3
64.92386714617412,13.395098816861907,0.44608600934346515,0.004361349494626489,64,"(64, 32)",16,30,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.001}",-1020060032.0,-954216192.0,-2855758080.0,-1610011434.6666667,881285947.1953193,51
64.62333242098491,12.865709472632417,0.4462018807729085,0.003180604264994912,64,"(64, 32)",16,30,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.01}",-1072255296.0,-1126605952.0,-1174833280.0,-1124564842.6666667,41902150.269876994,20
74.05250549316406,0.5448054914353626,0.47738051414489746,0.023319871829047434,64,"(64, 32)",16,40,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.0005}",-1072357632.0,-4485003776.0,-8958991360.0,-4838784256.0,3229408445.4100432,60
72.67769654591878,1.2635397368587789,0.4833769003550212,0.01584125514214269,64,"(64, 32)",16,40,0.001,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.001}",-1158772864.0,-903838528.0,-1301635200.0,-1121415530.6666667,164534142.0068638,19
80.36439021428426,4.14303638141592,0.4854460557301839,0.02631287470128941,64,"(64, 32)",16,40,0.01,"{'batch_size': 64, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.01}",-1399066752.0,-1178974592.0,-1356801920.0,-1311614421.3333333,95364466.65356687,34
